wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.semivar_rank_threshold,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,11,False,34,0.5,0.01,0.004,1.5,234,234,234,0,0,0,0,0,0,0,234,62.61205594021377,9852.5,1.413623005877414,0.1908371754466124,1802.5,0.011591080816037812,0.01716767535990904,1.481110832749545,0.49572649572649574,0,0,True,-350.0,0.05150976909413854,9,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,12,False,32,0.5,0.01,0.003,1.5,234,234,234,0,0,0,0,0,0,0,234,62.61221520452366,9217.5,1.4707609805924413,0.23082262753735514,1722.5,0.011211090681289356,0.016084982707495143,1.434738435783061,0.5085470085470085,0,0,True,-265.0,0.04122592893951722,9,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,13,False,29,0.5,0.005,0.005,1.0,242,242,242,0,0,0,0,0,0,0,242,64.75280375852446,11090.0,1.4599751140605557,0.16434622450927686,2115.0,0.013654851830331202,0.01926875811205342,1.411129051525274,0.5785123966942148,0,0,True,-435.0,0.03787195671776375,10,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,14,False,11,0.45,0.005,0.005,1.0,215,215,215,0,0,0,0,0,0,0,215,57.52831738877174,11220.0,1.5415057915057915,0.19348289886196696,2170.0,0.01386537171336379,0.019488786332898744,1.4055725829632804,0.5953488372093023,0,0,True,-435.0,0.0374331550802139,9,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,15,False,7,0.45,0.005,0.003,1.0,215,215,215,0,0,0,0,0,0,0,215,57.52831738877174,7975.0,1.5580825752274319,0.22671938250322604,1535.0,0.009955250016213762,0.013957216890388757,1.4019956171524708,0.6186046511627907,0,0,True,-265.0,0.03134796238244514,5,False,preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,16,False,2,0.45,0.0,0.003,1.5,220,220,220,0,0,0,0,0,0,0,220,58.86618523502224,9287.5,1.5047554347826086,0.2590189034125295,1800.0,0.01163110026977691,0.0162044944483144,1.3932039164361198,0.5181818181818182,0,0,True,-265.0,0.04091520861372813,11,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,17,False,13,0.45,0.01,0.003,1.0,207,207,207,0,0,0,0,0,0,0,207,55.38772883477093,7990.0,1.5877160720853254,0.23455314514316142,1555.0,0.010094125283998702,0.013982977173790267,1.3852589283745278,0.6231884057971014,0,0,True,-265.0,0.03128911138923655,4,False,preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,18,False,33,0.5,0.01,0.004,1.0,234,234,234,0,0,0,0,0,0,0,234,62.61221520452366,8745.0,1.4296241709653648,0.16588289883717297,1720.0,0.01117899389054985,0.015277270221258465,1.3666051140946671,0.5811965811965812,0,0,True,-350.0,0.038307604345340196,9,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,19,False,21,0.5,0.0,0.004,1.0,248,248,248,0,0,0,0,0,0,0,248,66.35824517402507,7975.0,1.356583948133244,0.15177110946190883,1600.0,0.010396023521003217,0.013957216890388757,1.342553415947051,0.5766129032258065,0,0,True,-350.0,0.04200626959247649,7,False,preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,20,False,3,0.45,0.0,0.004,1.0,220,220,220,0,0,0,0,0,0,0,220,58.86618523502224,8620.0,1.4517819706498951,0.18925018415517583,1880.0,0.011786094915679267,0.015063295185432146,1.2780564973554691,0.5954545454545455,0,0,True,-350.0,0.0388631090487239,7,False,preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,21,False,26,0.5,0.005,0.003,1.5,242,242,242,0,0,0,0,0,0,0,242,64.75280375852446,9055.0,1.443003913894325,0.2217036367145428,1902.5,0.012373782540121298,0.015807396298814114,1.2774910378099433,0.5041322314049587,0,0,True,-265.0,0.041965764770844835,10,False,max_consecutive_losses;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,88c371c85455f7aab6620e0f0e3e8710962603b5de4ce630719a13f9e636080e,914fdf2decb1e0d81b048475ecceb9492723f0c648b224d09280c53cf7323667,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,22,False,5,0.45,0.0,0.005,1.0,220,220,220,0,0,0,0,0,0,0,220,58.86618523502224,11255.0,1.517471264367816,0.18848623211847054,2465.0,0.015768431153046537,0.019548002496537098,1.2396922881424592,0.5954545454545455,0,0,True,-435.0,0.037316748111950244,10,False,max_consecutive_losses;preferred_min_total_trades
