campaign_id,variant_id,run_id,trade_log_csv,exists
es_pivot_filtered_vwap_pullback_continuation,failed_vwap_break_two_sided_1500,run1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/failed_vwap_break_two_sided_1500/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,failed_vwap_break_two_sided_1500,stop_widen_rescue1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/failed_vwap_break_two_sided_1500/ES/stop_widen_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,late_morning_trend_reclaim_two_sided_1300,run1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/late_morning_trend_reclaim_two_sided_1300/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,late_morning_trend_reclaim_two_sided_1300,stop_widen_rescue1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/late_morning_trend_reclaim_two_sided_1300/ES/stop_widen_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,midday_trend_reclaim_two_sided_1430,run1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/midday_trend_reclaim_two_sided_1430/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,midday_trend_reclaim_two_sided_1430,stop_widen_rescue1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/midday_trend_reclaim_two_sided_1430/ES/stop_widen_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,morning_trend_reclaim_two_sided_1200,run1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/morning_trend_reclaim_two_sided_1200/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,morning_trend_reclaim_two_sided_1200,stop_widen_rescue1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/morning_trend_reclaim_two_sided_1200/ES/stop_widen_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,opening_drive_pullback_two_sided_1400,run1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/opening_drive_pullback_two_sided_1400/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_pivot_filtered_vwap_pullback_continuation,opening_drive_pullback_two_sided_1400,stop_widen_rescue1,backtest-campaigns/es_pivot_filtered_vwap_pullback_continuation/opening_drive_pullback_two_sided_1400/ES/stop_widen_rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
