wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.pc_change_rank_max,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,1,True,21,0.375,0.004,2.5,333,333,333,0,0,0,0,0,0,0,333,89.48348349882619,3147.5,1.0967865928659286,0.08393447019416546,4312.5,0.027629176410289266,0.0055958788659651315,0.20253513108270552,0.4864864864864865,0,0,True,-355.0,0.25893566322478156,6,False,min_profit_factor;min_mar;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,2,False,12,0.4,0.004,2.5,362,362,362,0,0,0,0,0,0,0,362,97.27633941914439,2872.5,1.080801687763713,0.07442741822500759,4952.5,0.03165548098434005,0.005110333000907685,0.1614359612300873,0.48342541436464087,0,0,True,-355.0,0.28372497824194953,8,False,min_profit_factor;min_mar;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,3,False,20,0.375,0.004,2.0,333,333,333,0,0,0,0,0,0,0,333,89.48348349882619,1760.0,1.054120541205412,0.06401476941536126,4635.0,0.02986757740761027,0.003139535638108537,0.10511517540450342,0.4864864864864865,0,0,True,-355.0,0.3693181818181818,6,False,min_profit_factor;min_mar;preferred_min_total_trades
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,4,False,11,0.4,0.004,2.0,362,362,362,0,0,0,0,0,0,0,362,97.27633941914439,1445.0,1.040646976090014,0.05550142629879069,5275.0,0.03392064818982702,0.0025795935591534924,0.07604788519127197,0.48342541436464087,0,0,True,-355.0,0.44982698961937717,8,False,min_profit_factor;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,5,False,19,0.375,0.004,1.5,333,333,333,0,0,0,0,0,0,0,333,89.48348349882619,865.0,1.0268133911965283,0.04952159558369771,4877.5,0.03156906846167538,0.0015463573076197612,0.04898330495551454,0.4954954954954955,0,0,True,-355.0,0.5867052023121387,6,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,6,False,3,0.45,0.004,2.5,406,406,406,0,0,0,0,0,0,0,406,109.09998288445476,660.0,1.0159055307868419,0.045791863380683306,5930.0,0.038185389098168,0.0011804669533397316,0.03091410042477127,0.4729064039408867,0,0,True,-355.0,1.2348484848484849,8,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,7,False,24,0.375,0.006,2.5,333,333,333,0,0,0,0,0,0,0,333,89.48348349882619,722.5,1.0191441441441442,0.04107015127405359,7365.0,0.04706596584282587,0.0012920574490540293,0.027452054279918148,0.5105105105105106,0,0,True,-525.0,1.231833910034602,6,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,8,False,10,0.4,0.004,1.5,362,362,362,0,0,0,0,0,0,0,362,97.27633941914439,497.5,1.0140974780391045,0.041202457000602946,5472.5,0.03536806049247076,0.0008901731490169595,0.02516884263999893,0.49171270718232046,0,0,True,-355.0,1.020100502512563,8,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,9,False,15,0.4,0.006,2.5,362,362,362,0,0,0,0,0,0,0,362,97.27633941914439,545.0,1.0132555028578378,0.03776603053005559,7930.0,0.05055141199719513,0.0009750519596427587,0.01928832293936438,0.5082872928176796,0,0,True,-525.0,1.6330275229357798,8,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration;min_positive_month_rate
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,7d2021cef3849ea3b9fdbad45431c46ed543c8a1f10f104ca6deb965b598e2ca,6b6631d3afa185101bbd37070c7355942449242e39a586d23c83f766f4cfa279,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,10,False,23,0.375,0.006,2.0,333,333,333,0,0,0,0,0,0,0,333,89.48348349882619,295.0,1.0078166401695814,0.035265393736760846,7355.0,0.047161040043602324,0.0005281014374953763,0.011197832723941727,0.5105105105105106,0,0,True,-525.0,3.3220338983050848,6,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
