run_uid,stage_index,stage_name,status,passed
c3a16d45-46c2-4cf5-895b-16df7ddcce68,0,limited_core_grid_test,failed,0
c3a16d45-46c2-4cf5-895b-16df7ddcce68,1,limited_monkey_test,skipped,0
c3a16d45-46c2-4cf5-895b-16df7ddcce68,2,walk_forward_analysis,skipped,0
c3a16d45-46c2-4cf5-895b-16df7ddcce68,3,wfa_oos_monkey_test,skipped,0
c3a16d45-46c2-4cf5-895b-16df7ddcce68,4,wfa_oos_monte_carlo,skipped,0
c3a16d45-46c2-4cf5-895b-16df7ddcce68,5,simulated_incubation_core,skipped,0
c3a16d45-46c2-4cf5-895b-16df7ddcce68,6,simulated_incubation_monkey,skipped,0
c3a16d45-46c2-4cf5-895b-16df7ddcce68,7,acceptance_oos_test,skipped,0
cf32afb4-6d4d-4874-9b72-378e6b65bdea,0,limited_core_grid_test,failed,0
cf32afb4-6d4d-4874-9b72-378e6b65bdea,1,limited_monkey_test,skipped,0
cf32afb4-6d4d-4874-9b72-378e6b65bdea,2,walk_forward_analysis,skipped,0
cf32afb4-6d4d-4874-9b72-378e6b65bdea,3,wfa_oos_monkey_test,skipped,0
cf32afb4-6d4d-4874-9b72-378e6b65bdea,4,wfa_oos_monte_carlo,skipped,0
cf32afb4-6d4d-4874-9b72-378e6b65bdea,5,simulated_incubation_core,skipped,0
cf32afb4-6d4d-4874-9b72-378e6b65bdea,6,simulated_incubation_monkey,skipped,0
cf32afb4-6d4d-4874-9b72-378e6b65bdea,7,acceptance_oos_test,skipped,0
5058051b-210d-4c6b-9512-a645e1fd0a35,0,limited_core_grid_test,failed,0
5058051b-210d-4c6b-9512-a645e1fd0a35,1,limited_monkey_test,skipped,0
5058051b-210d-4c6b-9512-a645e1fd0a35,2,walk_forward_analysis,skipped,0
5058051b-210d-4c6b-9512-a645e1fd0a35,3,wfa_oos_monkey_test,skipped,0
5058051b-210d-4c6b-9512-a645e1fd0a35,4,wfa_oos_monte_carlo,skipped,0
5058051b-210d-4c6b-9512-a645e1fd0a35,5,simulated_incubation_core,skipped,0
5058051b-210d-4c6b-9512-a645e1fd0a35,6,simulated_incubation_monkey,skipped,0
5058051b-210d-4c6b-9512-a645e1fd0a35,7,acceptance_oos_test,skipped,0
9f137e1f-5fde-43f3-8760-317478f6c65a,0,limited_core_grid_test,failed,0
9f137e1f-5fde-43f3-8760-317478f6c65a,1,limited_monkey_test,skipped,0
9f137e1f-5fde-43f3-8760-317478f6c65a,2,walk_forward_analysis,skipped,0
9f137e1f-5fde-43f3-8760-317478f6c65a,3,wfa_oos_monkey_test,skipped,0
9f137e1f-5fde-43f3-8760-317478f6c65a,4,wfa_oos_monte_carlo,skipped,0
9f137e1f-5fde-43f3-8760-317478f6c65a,5,simulated_incubation_core,skipped,0
9f137e1f-5fde-43f3-8760-317478f6c65a,6,simulated_incubation_monkey,skipped,0
