variant_id,terminal_stage,core_profitable_combos,core_combos,benchmark_pass_combos,top_net_profit,top_profit_factor,top_mar,top_trades,monkey_percentage_profitable,monkey_median_net_profit,monkey_net_beat_rate,monkey_dd_beat_rate,wfa_early_exit,wfa_stitched_net_profit,wfa_stitched_profit_factor,wfa_stitched_mar,criteria_failures,report_path
funding_stress_short_1130,limited_core_grid_test,18,27,3,1815.0,1.1019949423995505,1.2461158256899854,132,,,,,,,,,summary.percentage_profitable_iterations=0.6666666666666666,backtest-campaigns/nq_ofr_financial_stress_intraday/funding_stress_short_1130/NQ/run1/variant_test_summary.json
high_credit_stress_short_1030,walk_forward_analysis,24,27,18,6395.0,1.2438977879481312,2.726189359077553,183,0.11675,-4855.0,0.984375,0.975625,True,-6597.5,0.8701151688158283,-0.5403656917695282,summary.early_exit=True;stitched_oos_metrics.profit_factor=0.8701151688158283;stitched_oos_metrics.mar=-0.5403656917695282,backtest-campaigns/nq_ofr_financial_stress_intraday/high_credit_stress_short_1030/NQ/run1/variant_test_summary.json
rising_global_stress_short_1000,limited_core_grid_test,15,27,0,2195.0,1.1250712250712251,0.308575950277386,105,,,,,,,,,summary.percentage_profitable_iterations=0.5555555555555556,backtest-campaigns/nq_ofr_financial_stress_intraday/rising_global_stress_short_1000/NQ/run1/variant_test_summary.json
us_stress_short_1200,limited_core_grid_test,18,27,6,2455.0,1.1315648445873527,1.1523439656441306,137,,,,,,,,,summary.percentage_profitable_iterations=0.6666666666666666,backtest-campaigns/nq_ofr_financial_stress_intraday/us_stress_short_1200/NQ/run1/variant_test_summary.json
volatility_stress_short_1330,limited_monkey_test,24,27,8,2762.5,1.279888551165147,2.2840202686828213,94,0.1875,-2075.0,0.906375,0.655125,,,,,summary.core_beats_monkey_max_drawdown_rate=0.655125,backtest-campaigns/nq_ofr_financial_stress_intraday/volatility_stress_short_1330/NQ/run1/variant_test_summary.json
