path,kind
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/campaign_test_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/campaign_test_summary.md,md
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/effective_config.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/limited_core_grid_test/core_grid_results.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/limited_core_grid_test/core_grid_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.html,html
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/limited_core_grid_test/fixed_config_core_metrics.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/limited_core_grid_test/stage_result.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/run_manifest.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/source_config.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/run1/variant_test_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/NQ/runs_index.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_pressure_short_1500/variant.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/campaign_test_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/campaign_test_summary.md,md
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/effective_config.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/limited_core_grid_test/core_grid_results.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/limited_core_grid_test/core_grid_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.html,html
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/limited_core_grid_test/fixed_config_core_metrics.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/limited_core_grid_test/stage_result.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/run_manifest.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/source_config.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/run1/variant_test_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/NQ/runs_index.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_late_reversal_long_1430/variant.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/campaign_test_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/campaign_test_summary.md,md
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/effective_config.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/limited_core_grid_test/core_grid_results.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/limited_core_grid_test/core_grid_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.html,html
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/limited_core_grid_test/fixed_config_core_metrics.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/limited_core_grid_test/stage_result.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/run_manifest.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/source_config.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/run1/variant_test_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/NQ/runs_index.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_post_auction_short_1305/variant.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/campaign_test_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/campaign_test_summary.md,md
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/effective_config.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/limited_core_grid_test/core_grid_results.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/limited_core_grid_test/core_grid_summary.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/limited_core_grid_test/fixed_config_core_daily_results.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/limited_core_grid_test/fixed_config_core_equity_curve.html,html
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/limited_core_grid_test/fixed_config_core_metrics.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,csv
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/limited_core_grid_test/stage_result.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/run_manifest.json,json
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/source_config.yaml,yaml
backtest-campaigns/nq_treasury_auction_pressure/all_coupon_pre_auction_short_1130/NQ/run1/variant_test_summary.json,json
