campaign_id,variant_id,test_run_id,trade_log_path,exists
es_sector_opening_breadth_orderflow_continuation,broad_down_morning_signed_short_1130,rescue1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_down_morning_signed_short_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,broad_down_morning_signed_short_1130,run1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_down_morning_signed_short_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,broad_two_sided_morning_large10_1130,rescue1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_two_sided_morning_large10_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,broad_two_sided_morning_large10_1130,run1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_two_sided_morning_large10_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,broad_up_early_signed_long_1000,rescue1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_up_early_signed_long_1000/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,broad_up_early_signed_long_1000,run1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_up_early_signed_long_1000/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,cyclical_up_morning_signed_long_1130,rescue1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/cyclical_up_morning_signed_long_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,cyclical_up_morning_signed_long_1130,run1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/cyclical_up_morning_signed_long_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,riskoff_cycdown_midday_signed_short_1230,rescue1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/riskoff_cycdown_midday_signed_short_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_sector_opening_breadth_orderflow_continuation,riskoff_cycdown_midday_signed_short_1230,run1,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/riskoff_cycdown_midday_signed_short_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
