campaign_id,variant_id,test_run_id,stage,stage_status,passed,prop_pass_chance,summary_path
es_sector_opening_breadth_orderflow_continuation,broad_down_morning_signed_short_1130,rescue1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_down_morning_signed_short_1130/ES/rescue1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,broad_down_morning_signed_short_1130,run1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_down_morning_signed_short_1130/ES/run1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,broad_two_sided_morning_large10_1130,rescue1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_two_sided_morning_large10_1130/ES/rescue1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,broad_two_sided_morning_large10_1130,run1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_two_sided_morning_large10_1130/ES/run1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,broad_up_early_signed_long_1000,rescue1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_up_early_signed_long_1000/ES/rescue1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,broad_up_early_signed_long_1000,run1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/broad_up_early_signed_long_1000/ES/run1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,cyclical_up_morning_signed_long_1130,rescue1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/cyclical_up_morning_signed_long_1130/ES/rescue1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,cyclical_up_morning_signed_long_1130,run1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/cyclical_up_morning_signed_long_1130/ES/run1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,riskoff_cycdown_midday_signed_short_1230,rescue1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/riskoff_cycdown_midday_signed_short_1230/ES/rescue1/campaign_test_summary.json
es_sector_opening_breadth_orderflow_continuation,riskoff_cycdown_midday_signed_short_1230,run1,wfa_oos_monte_carlo,skipped,False,,backtest-campaigns/es_sector_opening_breadth_orderflow_continuation/riskoff_cycdown_midday_signed_short_1230/ES/run1/campaign_test_summary.json
