run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
32,52775.3125,2775.3125,2775.3125,50912.5,challenge,3830.625,-842.5,770.0,0.017901772740482418,6,True,trailing_drawdown,True,True,False,5,4,0,3,3,3,3628.125,3265.3125,490.0
33,54293.359375,4293.359375,4293.359375,50310.15625,funded,2890.46875,-842.5,770.0,0.017612076852698992,5,True,trailing_drawdown,True,True,True,5,4,0,2,2,5,5314.84375,4783.359375,490.0
34,50715.625,715.625,715.625,50000.0,funded,2675.0,-842.5,770.0,0.017721518987341773,7,True,trailing_drawdown,True,True,False,8,7,0,5,5,2,1666.25,1499.625,784.0
35,53630.46875,3630.46875,3630.46875,52705.0,funded,3702.8125,-842.5,770.0,0.01736091539372076,4,True,trailing_drawdown,True,True,False,6,5,0,2,2,3,4687.1875,4218.46875,588.0
36,57438.75,7438.75,7438.75,50737.5,challenge,3900.0,-842.5,770.0,0.01686377573368375,6,True,trailing_drawdown,True,True,True,7,5,1,2,2,6,9027.5,8124.75,686.0
37,50883.5,883.5,883.5,,,2535.0,-842.5,770.0,0.01738050900062073,5,True,trailing_drawdown,True,True,False,6,6,0,4,4,2,1635.0,1471.5,588.0
38,51697.0,1697.0,1697.0,49515.0,challenge,3163.75,-842.5,770.0,0.01780861520670714,3,True,trailing_drawdown,True,True,False,5,4,0,4,4,2,2430.0,2187.0,490.0
39,53967.6875,3967.6875,3967.6875,49330.0,funded,4044.375,-842.5,770.0,0.018400143377740607,5,True,trailing_drawdown,True,True,True,6,5,0,3,3,5,5061.875,4555.6875,588.0
40,54324.7890625,4324.7890625,4324.7890625,,,2662.5,-842.5,770.0,0.0184774131621573,4,True,trailing_drawdown,True,True,False,5,4,1,2,2,7,5349.765625,4814.7890625,490.0
41,58410.5,8410.5,8410.5,48780.0,challenge,4355.0,-842.5,770.0,0.01682876188394711,5,True,trailing_drawdown,True,True,True,9,7,1,2,2,6,10325.0,9292.5,882.0
42,56347.484375,6347.484375,6347.484375,49415.0,challenge,2952.5,-842.5,770.0,0.0169054283989242,5,True,trailing_drawdown,True,True,False,6,4,1,3,3,6,7706.09375,6935.484375,588.0
43,53979.375,3979.375,3979.375,52332.5,challenge,4180.0,-842.5,770.0,0.017022217309605393,5,True,trailing_drawdown,True,True,True,7,6,0,3,3,4,5183.75,4665.375,686.0
44,54127.171875,4127.171875,4127.171875,52272.5,challenge,3076.09375,-842.5,770.0,0.017696064349324907,5,True,trailing_drawdown,True,True,False,7,6,0,3,3,5,5347.96875,4813.171875,686.0
45,50007.125,7.125,7.125,50320.0,funded,2812.5,-842.5,770.0,0.017906976744186048,5,True,trailing_drawdown,True,True,True,6,5,0,4,4,1,661.25,595.125,588.0
