campaign_id,variant_id,run_id,stage,parameter_source,equity_curve_csv,net_profit,max_drawdown
es_overnight_drift_european_open,eu_open_unconditional_long_0200,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_unconditional_long_0200/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-8232.5,8247.5
es_overnight_drift_european_open,eu_open_unconditional_long_0200,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_unconditional_long_0200/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-9710.625,9710.625
es_overnight_drift_european_open,eu_open_prior_down_long_0200,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_prior_down_long_0200/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-3025.0,3032.5
es_overnight_drift_european_open,eu_open_prior_down_long_0200,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_prior_down_long_0200/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-3210.0,3217.5
es_overnight_drift_european_open,eu_open_down_no_recovery_long_0200,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_down_no_recovery_long_0200/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-1422.5,1475.0
es_overnight_drift_european_open,eu_open_down_no_recovery_long_0200,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_down_no_recovery_long_0200/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-2385.625,2385.625
es_overnight_drift_european_open,eu_open_prior_down_long_0230,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_prior_down_long_0230/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-4150.0,4220.0
es_overnight_drift_european_open,eu_open_prior_down_long_0230,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_prior_down_long_0230/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-3747.5,3839.375
es_overnight_drift_european_open,london_open_prior_down_long_0300,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/london_open_prior_down_long_0300/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-3387.5,3425.0
es_overnight_drift_european_open,london_open_prior_down_long_0300,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/london_open_prior_down_long_0300/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-3047.5,3265.0
