campaign_id,variant_id,run_id,stage,parameter_source,trade_log_csv,total_trades,net_profit,profit_factor,apex_rule_violations
es_overnight_drift_european_open,eu_open_unconditional_long_0200,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_unconditional_long_0200/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,379,-8232.5,0.5150935061110293,0
es_overnight_drift_european_open,eu_open_unconditional_long_0200,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_unconditional_long_0200/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,379,-9710.625,0.4848474801061008,0
es_overnight_drift_european_open,eu_open_prior_down_long_0200,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_prior_down_long_0200/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,145,-3025.0,0.5414929897688519,0
es_overnight_drift_european_open,eu_open_prior_down_long_0200,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_prior_down_long_0200/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,112,-3210.0,0.5019394879751745,0
es_overnight_drift_european_open,eu_open_down_no_recovery_long_0200,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_down_no_recovery_long_0200/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,72,-1422.5,0.596167494677076,0
es_overnight_drift_european_open,eu_open_down_no_recovery_long_0200,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_down_no_recovery_long_0200/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,74,-2385.625,0.47683662280701755,0
es_overnight_drift_european_open,eu_open_prior_down_long_0230,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_prior_down_long_0230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,145,-4150.0,0.47634069400630913,0
es_overnight_drift_european_open,eu_open_prior_down_long_0230,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/eu_open_prior_down_long_0230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,112,-3747.5,0.4505131964809384,0
es_overnight_drift_european_open,london_open_prior_down_long_0300,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/london_open_prior_down_long_0300/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,145,-3387.5,0.553982883475971,0
es_overnight_drift_european_open,london_open_prior_down_long_0300,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_overnight_drift_european_open/london_open_prior_down_long_0300/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,112,-3047.5,0.6256142506142506,0
