variant_id,run_id,stage,status,reason
rapid_margin_1m_expansion_short_1030,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
rapid_margin_1m_expansion_short_1030,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
rapid_margin_3m_expansion_short_1130,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
rapid_margin_3m_expansion_short_1130,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
persistent_margin_12m_expansion_short_1200,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
persistent_margin_12m_expansion_short_1200,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
debit_credit_ratio_expansion_short_1330,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
debit_credit_ratio_expansion_short_1330,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
margin_deleveraging_rebound_long_1430,run1,walk_forward_analysis,not_reached,limited_core_grid_test failed
margin_deleveraging_rebound_long_1430,rescue1,walk_forward_analysis,not_reached,limited_core_grid_test failed
