campaign_id,variant_id,run_id,trade_log_csv,exists
es_nq_semivariance_filtered_relative_value_absorption,morning15_low_badvol_absorption_twosided_1100,run1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/morning15_low_badvol_absorption_twosided_1100/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,morning30_low_badvol_absorption_twosided_1130,run1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/morning30_low_badvol_absorption_twosided_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,late_morning30_low_badvol_absorption_twosided_1230,run1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/late_morning30_low_badvol_absorption_twosided_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_badvol_absorption_twosided_1430,run1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/midday60_low_badvol_absorption_twosided_1430/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_downside_share_absorption_twosided_1430,run1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/midday60_low_downside_share_absorption_twosided_1430/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,morning15_low_badvol_absorption_twosided_1100,rescue1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/morning15_low_badvol_absorption_twosided_1100/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,morning30_low_badvol_absorption_twosided_1130,rescue1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/morning30_low_badvol_absorption_twosided_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,late_morning30_low_badvol_absorption_twosided_1230,rescue1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/late_morning30_low_badvol_absorption_twosided_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_badvol_absorption_twosided_1430,rescue1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/midday60_low_badvol_absorption_twosided_1430/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nq_semivariance_filtered_relative_value_absorption,midday60_low_downside_share_absorption_twosided_1430,rescue1,backtest-campaigns/es_nq_semivariance_filtered_relative_value_absorption/midday60_low_downside_share_absorption_twosided_1430/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
