artifact_type,path,status
source_campaign,campaigns/nq_quarterly_expiration_pressure/campaign.yaml,written
campaign_summary,backtest-campaigns/nq_quarterly_expiration_pressure/campaign_test_summary.json,written
campaign_results,backtest-campaigns/nq_quarterly_expiration_pressure/campaign_results.csv,written
methodology_audit,backtest-campaigns/nq_quarterly_expiration_pressure/methodology_audit.md,written
event_density_detail,research_artifacts/nq_quarterly_expiration_pressure_event_density_audit_20260630.csv,written
event_density_summary,research_artifacts/nq_quarterly_expiration_pressure_event_density_summary_20260630.csv,written
trade_logs,,not_generated_pre_pnl_failure
equity_curve_data,,not_generated_pre_pnl_failure
wfa_oos_trade_logs,,not_generated_pre_pnl_failure
monte_carlo_summary,,not_generated_pre_pnl_failure
candidate_strategy_report,,not_created_campaign_failed
