campaign_id,variant_id,test_run_id,rescue_attempt,status,trade_log
es_credit_etf_orderflow_risk_appetite,hyg_1d_strength_signed_long_1230,run1,none,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_1d_strength_signed_long_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_1d_strength_signed_long_1230,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_1d_strength_signed_long_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_1d_weakness_signed_short_1230,run1,none,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_1d_weakness_signed_short_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_1d_weakness_signed_short_1230,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_1d_weakness_signed_short_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_1d_two_sided_signed_1230,run1,none,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_1d_two_sided_signed_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_1d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_1d_two_sided_signed_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_3d_two_sided_signed_1230,run1,none,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_3d_two_sided_signed_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_3d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_3d_two_sided_signed_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_5d_two_sided_signed_1230,run1,none,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_5d_two_sided_signed_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_credit_etf_orderflow_risk_appetite,hyg_5d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_credit_etf_orderflow_risk_appetite/hyg_5d_two_sided_signed_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
