campaign_id,variant_id,test_run_id,rescue_attempt,status,terminal_stage,note
es_credit_etf_orderflow_risk_appetite,hyg_1d_strength_signed_long_1230,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_1d_strength_signed_long_1230,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_1d_weakness_signed_short_1230,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_1d_weakness_signed_short_1230,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_1d_two_sided_signed_1230,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_1d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_3d_two_sided_signed_1230,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_3d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,not_reached,walk_forward_analysis,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_5d_two_sided_signed_1230,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_credit_etf_orderflow_risk_appetite,hyg_5d_two_sided_signed_1230,rescue1,parameter_space_rescue_1,not_reached,limited_monkey_test,no run reached Monte Carlo
