variant_id,rows,pass_rows,min_full,min_limited,min_latest,decision
afternoon_symmetric_shock_reversion,9,9,82.810386,91.698113,71,NEEDS MANUAL REVIEW
all_day_symmetric_shock_reversion,9,9,219.68214,197.660377,241,NEEDS MANUAL REVIEW
midday_symmetric_shock_reversion,9,6,32.185681,37.358491,29,FAIL
morning_down_shock_reversal_long,9,9,130.461054,93.056604,176,NEEDS MANUAL REVIEW
morning_up_shock_reversal_short,9,9,129.535799,90.339623,159,NEEDS MANUAL REVIEW
