variant_id,wfa_oos_trade_log,status,reason
hml_21d_value_strength_short_1000,,skipped,halted at limited_monkey_test
hml_21d_growth_strength_long_1030,,skipped,halted at limited_core_grid_test
rmw_63d_quality_strength_long_1130,,skipped,halted at limited_core_grid_test
cma_63d_conservative_short_1200,,skipped,halted at limited_core_grid_test
hml_63d_extreme_two_sided_1330,,skipped,halted at limited_core_grid_test
